canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Bengaluru Urban,20,2021,11,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,282,111.8,0.5385,"Nov 2021: 282 Narcotic Drugs & Pshycotropic Substances in Bengaluru Urban vs ~112 expected (2.5x, z=0.9) - spike."
Chikkaballapura,28,2020,2,KARNATAKA POLICE ACT 1963,48,18.1,0.5377,"Feb 2020: 48 Karnataka Police Act 1963 in Chikkaballapura vs ~18 expected (2.6x, z=1.5) - spike."
Bagalkote,02,2017,11,Karnataka State Local Act,29,11.0,0.5375,"Nov 2017: 29 Karnataka State Local Act in Bagalkote vs ~11 expected (2.6x, z=1.1) - spike."
Shivamogga,15,2018,4,CrPC,214,83.8,0.5373,"Apr 2018: 214 Crpc in Shivamogga vs ~84 expected (2.6x, z=0.4) - spike."
Bengaluru Urban,20,2016,11,CrPC,234,92.0,0.5369,"Nov 2016: 234 Crpc in Bengaluru Urban vs ~92 expected (2.5x, z=0.7) - spike."
Belagavi,01,2017,5,CrPC,302,119.2,0.5362,"May 2017: 302 Crpc in Belagavi vs ~119 expected (2.5x, z=0.8) - spike."
Bidar,05,2016,11,CrPC,189,74.5,0.5351,"Nov 2016: 189 Crpc in Bidar vs ~74 expected (2.5x, z=0.7) - spike."
Ramanagara,29,2019,12,KARNATAKA POLICE ACT 1963,25,9.2,0.5343,"Dec 2019: 25 Karnataka Police Act 1963 in Ramanagara vs ~9 expected (2.7x, z=1.4) - spike."
Chikkamagaluru,17,2017,5,CrPC,362,142.0,0.5341,"May 2017: 362 Crpc in Chikkamagaluru vs ~142 expected (2.5x, z=1.6) - spike."
Bengaluru Urban,20,2016,12,PUBLIC SAFETY,705,281.9,0.5292,"Dec 2016: 705 Public Safety in Bengaluru Urban vs ~282 expected (2.5x, z=1.0) - spike."
Dharwad,09,2017,5,CHEATING,21,8.2,0.5268,"May 2017: 21 Cheating in Dharwad vs ~8 expected (2.5x, z=1.9) - spike."
Davanagere,14,2017,6,CrPC,310,122.3,0.5265,"Jun 2017: 310 Crpc in Davanagere vs ~122 expected (2.5x, z=1.5) - spike."
Uttara Kannada,10,2017,7,CrPC,70,27.8,0.525,"Jul 2017: 70 Crpc in Uttara Kannada vs ~28 expected (2.5x, z=0.3) - spike."
Dharwad,09,2017,4,CrPC,206,82.2,0.5233,"Apr 2017: 206 Crpc in Dharwad vs ~82 expected (2.5x, z=1.3) - spike."
Chikkaballapura,28,2017,5,CrPC,105,42.0,0.5196,"May 2017: 105 Crpc in Chikkaballapura vs ~42 expected (2.5x, z=0.4) - spike."
Yadgir,30,2023,6,Karnataka State Local Act,24,9.1,0.5179,"Jun 2023: 24 Karnataka State Local Act in Yadgir vs ~9 expected (2.6x, z=1.3) - spike."
Dakshina Kannada,24,2017,10,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,72,28.2,0.5171,"Oct 2017: 72 Narcotic Drugs & Pshycotropic Substances in Dakshina Kannada vs ~28 expected (2.5x, z=1.6) - spike."
Koppal,07,2019,2,Karnataka State Local Act,39,15.1,0.5164,"Feb 2019: 39 Karnataka State Local Act in Koppal vs ~15 expected (2.6x, z=1.4) - spike."
Davanagere,14,2018,10,Karnataka State Local Act,34,13.1,0.5156,"Oct 2018: 34 Karnataka State Local Act in Davanagere vs ~13 expected (2.6x, z=1.4) - spike."
Dharwad,09,2023,11,CYBER CRIME,37,14.2,0.5152,"Nov 2023: 37 Cyber Crime in Dharwad vs ~14 expected (2.6x, z=1.6) - spike."
Bagalkote,02,2017,7,Karnataka State Local Act,38,14.9,0.511,"Jul 2017: 38 Karnataka State Local Act in Bagalkote vs ~15 expected (2.6x, z=1.5) - spike."
Dharwad,09,2023,12,CYBER CRIME,36,14.3,0.4985,"Dec 2023: 36 Cyber Crime in Dharwad vs ~14 expected (2.5x, z=1.5) - spike."
Haveri,11,2018,11,Karnataka State Local Act,18,7.1,0.4984,"Nov 2018: 18 Karnataka State Local Act in Haveri vs ~7 expected (2.5x, z=1.1) - spike."
Kodagu,25,2017,9,CrPC,25,10.0,0.4954,"Sep 2017: 25 Crpc in Kodagu vs ~10 expected (2.5x, z=0.1) - spike."
Kolar,19,2017,12,Karnataka State Local Act,15,5.9,0.4814,"Dec 2017: 15 Karnataka State Local Act in Kolar vs ~6 expected (2.6x, z=0.7) - spike."
Ramanagara,29,2017,12,CrPC,22,8.8,0.48,"Dec 2017: 22 Crpc in Ramanagara vs ~9 expected (2.5x, z=0.1) - spike."
